Video_id,Segment_id,Label,Label_binary,Label_7
126872,13,-1.67,negative,negative
126872,14,-1.67,negative,negative
130366,0,-1.33,negative,negative
130366,1,-0.33,negative,Neutral
130366,2,0.33,positive,Neutral
130366,3,0.33,positive,Neutral
130366,4,0.0,negative,Neutral
130366,5,0.33,positive,Neutral
130366,6,0.0,negative,Neutral
130366,7,-0.33,negative,Neutral
130366,8,-2.33,negative,very negative
130366,9,-2.0,negative,negative
130366,10,-0.67,negative,slightly negative
130366,11,-1.0,negative,slightly negative
132028,0,0.0,negative,Neutral
132028,1,0.0,negative,Neutral
132028,2,-1.33,negative,negative
132028,3,-1.33,negative,negative
132028,4,0.0,negative,Neutral
132028,5,1.0,positive,slightly positive
132028,6,0.33,positive,Neutral
132028,7,-0.33,negative,Neutral
135623,0,-1.67,negative,negative
135623,1,0.0,negative,Neutral
135623,2,-2.0,negative,negative
135623,3,-1.33,negative,negative
135623,4,-2.33,negative,very negative
135623,5,-2.0,negative,negative
135623,6,-1.67,negative,negative
135623,7,-2.67,negative,very negative
135623,8,-2.0,negative,negative
135623,9,-1.33,negative,negative
136196,0,-1.67,negative,negative
136196,1,-1.67,negative,negative
136196,2,-2.33,negative,very negative
136196,3,-2.33,negative,very negative
136196,4,-1.33,negative,negative
136196,5,0.0,negative,Neutral
136196,6,0.33,positive,Neutral
136196,7,1.0,positive,slightly positive
136196,8,0.0,negative,Neutral
136196,9,-0.33,negative,Neutral
136196,10,-1.67,negative,negative
136196,11,-1.33,negative,negative
136196,12,-1.67,negative,negative
136196,13,-2.0,negative,negative
136196,14,-1.67,negative,negative
167521,0,0.0,negative,Neutral
167521,1,-0.33,negative,Neutral
167521,2,2.67,positive,very positive
167521,3,1.67,positive,positive
167521,4,2.33,positive,very positive
167521,5,2.67,positive,very positive
167521,6,1.33,positive,positive
167521,7,2.0,positive,positive
167521,8,2.33,positive,very positive
167521,9,0.67,positive,slightly positive
167521,10,0.33,positive,Neutral
167521,11,0.0,negative,Neutral
167521,12,0.33,positive,Neutral
167521,13,0.33,positive,Neutral
167521,14,1.33,positive,positive
167521,15,2.33,positive,very positive
167521,16,0.67,positive,slightly positive
167521,17,2.33,positive,very positive
173CpFb3clw,0,0.0,negative,Neutral
173CpFb3clw,1,0.33,positive,Neutral
173CpFb3clw,2,0.0,negative,Neutral
180971,0,0.0,negative,Neutral
180971,1,0.0,negative,Neutral
180971,2,0.0,negative,Neutral
180971,3,1.0,positive,slightly positive
180971,4,-2.67,negative,very negative
180971,5,0.67,positive,slightly positive
180971,6,0.67,positive,slightly positive
190743,0,-0.33,negative,Neutral
190743,1,0.0,negative,Neutral
190743,2,-2.0,negative,negative
190743,3,-1.33,negative,negative
190743,4,-3.0,negative,very negative
190743,5,-3.0,negative,very negative
190743,6,-2.0,negative,negative
190743,7,-1.67,negative,negative
190743,8,-3.0,negative,very negative
190743,9,0.0,negative,Neutral
190743,10,0.0,negative,Neutral
190743,11,-0.33,negative,Neutral
190743,12,0.0,negative,Neutral
190743,13,-2.0,negative,negative
190743,14,0.0,negative,Neutral
190743,15,-2.0,negative,negative
190743,16,-2.33,negative,very negative
190743,17,-0.67,negative,slightly negative
190743,18,0.0,negative,Neutral
194299,0,-0.33,negative,Neutral
194299,1,0.0,negative,Neutral
194299,2,0.0,negative,Neutral
194299,3,0.0,negative,Neutral
194299,4,-1.0,negative,slightly negative
194299,5,0.0,negative,Neutral
194299,6,0.0,negative,Neutral
194299,7,0.67,positive,slightly positive
194299,8,0.0,negative,Neutral
194299,9,0.0,negative,Neutral
194299,10,0.0,negative,Neutral
194299,11,-1.33,negative,negative
194299,12,-1.0,negative,slightly negative
194299,13,1.33,positive,positive
194299,14,-1.0,negative,slightly negative
194299,15,0.0,negative,Neutral
194299,16,0.0,negative,Neutral
198112,0,0.0,negative,Neutral
198112,1,1.0,positive,slightly positive
198112,2,2.0,positive,positive
198112,3,0.0,negative,Neutral
198112,4,0.33,positive,Neutral
198112,5,0.33,positive,Neutral
198112,6,0.0,negative,Neutral
198112,7,1.0,positive,slightly positive
198112,8,2.0,positive,positive
198112,9,2.0,positive,positive
198112,10,0.0,negative,Neutral
198112,11,2.33,positive,very positive
198112,12,2.0,positive,positive
1Gp4l-ZTCVk,0,0.67,positive,slightly positive
1Gp4l-ZTCVk,1,1.0,positive,slightly positive
1HS2HcN2LDo,0,1.67,positive,positive
1HS2HcN2LDo,1,0.33,positive,Neutral
1HS2HcN2LDo,2,-2.33,negative,very negative
1HS2HcN2LDo,3,0.33,positive,Neutral
1HS2HcN2LDo,4,0.33,positive,Neutral
1HS2HcN2LDo,5,0.67,positive,slightly positive
1HS2HcN2LDo,6,1.0,positive,slightly positive
1HS2HcN2LDo,7,1.33,positive,positive
1HS2HcN2LDo,8,1.67,positive,positive
1LkYxsqRPZM,0,2.0,positive,positive
1LkYxsqRPZM,1,2.33,positive,very positive
1LkYxsqRPZM,2,2.0,positive,positive
1S6ji_d4OLI,0,0.67,positive,slightly positive
1S6ji_d4OLI,1,0.33,positive,Neutral
1jogeKX0wGw,0,2.67,positive,very positive
1jogeKX0wGw,1,1.67,positive,positive
1jogeKX0wGw,2,1.0,positive,slightly positive
1pl2FVdQWj0,0,0.33,positive,Neutral
1pl2FVdQWj0,1,0.67,positive,slightly positive
1pl2FVdQWj0,2,-0.33,negative,Neutral
200941,0,-1.33,negative,negative
200941,1,-1.0,negative,slightly negative
200941,2,-2.0,negative,negative
200941,3,-1.33,negative,negative
200941,4,-1.33,negative,negative
200941,5,-1.33,negative,negative
200941,6,-1.67,negative,negative
200941,7,0.0,negative,Neutral
200941,8,-2.33,negative,very negative
200941,9,-0.33,negative,Neutral
200941,10,-2.33,negative,very negative
200941,11,-2.0,negative,negative
200941,12,-1.67,negative,negative
200941,13,0.67,positive,slightly positive
200941,14,0.0,negative,Neutral
200941,15,-1.67,negative,negative
201005,0,1.0,positive,slightly positive
201005,1,0.0,negative,Neutral
201005,2,0.33,positive,Neutral
201005,3,-0.33,negative,Neutral
201005,4,0.0,negative,Neutral
201005,5,0.33,positive,Neutral
201005,6,0.0,negative,Neutral
201005,7,0.0,negative,Neutral
201005,8,-1.67,negative,negative
201005,9,-1.0,negative,slightly negative
201005,10,1.33,positive,positive
202826,0,0.0,negative,Neutral
202826,1,-1.67,negative,negative
202826,2,-1.33,negative,negative
202826,3,-1.67,negative,negative
202826,4,0.0,negative,Neutral
202826,5,0.0,negative,Neutral
202826,6,0.0,negative,Neutral
202826,7,0.0,negative,Neutral
202826,8,-0.67,negative,slightly negative
202826,9,-1.33,negative,negative
202826,10,0.0,negative,Neutral
202826,11,1.0,positive,slightly positive
202826,12,-1.33,negative,negative
202826,13,-2.0,negative,negative
202826,14,-1.0,negative,slightly negative
206585,0,-2.67,negative,very negative
206585,1,0.33,positive,Neutral
206585,2,0.0,negative,Neutral
206585,3,0.0,negative,Neutral
206585,4,-2.33,negative,very negative
206585,5,0.67,positive,slightly positive
208322,0,0.0,negative,Neutral
208322,1,-1.33,negative,negative
208322,2,0.0,negative,Neutral
208322,3,-2.33,negative,very negative
208322,4,0.0,negative,Neutral
208322,5,0.33,positive,Neutral
208322,6,-1.67,negative,negative
208322,7,-2.0,negative,negative
208322,8,0.67,positive,slightly positive
208322,9,-2.0,negative,negative
208322,10,-1.0,negative,slightly negative
208322,11,-1.67,negative,negative
208322,12,-3.0,negative,very negative
208322,13,-1.67,negative,negative
208592,0,-2.67,negative,very negative
208592,1,0.0,negative,Neutral
208592,2,0.33,positive,Neutral
208592,3,-2.0,negative,negative
208592,4,0.0,negative,Neutral
208592,5,0.0,negative,Neutral
208592,6,-2.67,negative,very negative
208592,7,-1.0,negative,slightly negative
208592,8,0.0,negative,Neutral
208592,9,-2.67,negative,very negative
208592,10,-1.33,negative,negative
209758,0,0.0,negative,Neutral
209758,1,0.67,positive,slightly positive
209758,2,0.0,negative,Neutral
209758,3,1.67,positive,positive
209758,4,1.33,positive,positive
209758,5,1.67,positive,positive
209758,6,0.0,negative,Neutral
209758,7,1.67,positive,positive
209758,8,0.0,negative,Neutral
209758,9,0.0,negative,Neutral
209758,10,0.0,negative,Neutral
209758,11,0.0,negative,Neutral
209758,12,0.0,negative,Neutral
209758,13,2.0,positive,positive
209758,14,2.0,positive,positive
209758,15,0.67,positive,slightly positive
20LfN8ENbhM,0,2.0,positive,positive
20LfN8ENbhM,1,2.33,positive,very positive
20LfN8ENbhM,2,0.67,positive,slightly positive
20LfN8ENbhM,3,0.67,positive,slightly positive
20LfN8ENbhM,4,1.0,positive,slightly positive
20LfN8ENbhM,5,1.67,positive,positive
210259,0,-3.0,negative,very negative
210259,1,-1.67,negative,negative
210259,2,-1.67,negative,negative
210259,3,-1.67,negative,negative
210259,4,-1.67,negative,negative
210259,5,-2.67,negative,very negative
210259,6,-1.67,negative,negative
210259,7,-2.33,negative,very negative
210259,8,2.33,positive,very positive
210259,9,0.0,negative,Neutral
210259,10,0.0,negative,Neutral
210259,11,-2.67,negative,very negative
210259,12,0.0,negative,Neutral
210259,13,0.0,negative,Neutral
210259,14,-2.0,negative,negative
210259,15,-1.33,negative,negative
210259,16,0.0,negative,Neutral
210259,17,-2.33,negative,very negative
210433,0,0.0,negative,Neutral
210433,1,0.0,negative,Neutral
210433,2,1.33,positive,positive
210433,3,0.33,positive,Neutral
210433,4,-1.0,negative,slightly negative
210433,5,0.0,negative,Neutral
210433,6,-2.0,negative,negative
210433,7,-1.0,negative,slightly negative
210433,8,-1.33,negative,negative
211875,0,-2.0,negative,negative
211875,1,-2.33,negative,very negative
211875,2,0.0,negative,Neutral
211875,3,0.0,negative,Neutral
211875,4,0.0,negative,Neutral
211875,5,0.0,negative,Neutral
211875,6,-1.67,negative,negative
211875,7,-1.67,negative,negative
211875,8,-2.0,negative,negative
211875,9,-2.33,negative,very negative
211875,10,-2.0,negative,negative
211875,11,-1.33,negative,negative
213327,0,-1.67,negative,negative
213327,1,0.0,negative,Neutral
213327,2,0.0,negative,Neutral
213327,3,-0.33,negative,Neutral
213327,4,-1.33,negative,negative
213327,5,0.0,negative,Neutral
213327,6,0.0,negative,Neutral
213327,7,-1.67,negative,negative
213327,8,-2.33,negative,very negative
213327,9,-1.0,negative,slightly negative
213327,10,-2.0,negative,negative
215318,0,0.67,positive,slightly positive
215318,1,0.0,negative,Neutral
215318,2,0.67,positive,slightly positive
215318,3,0.0,negative,Neutral
215318,4,-1.67,negative,negative
215318,5,0.67,positive,slightly positive
215318,6,0.33,positive,Neutral
215318,7,0.67,positive,slightly positive
215318,8,-1.33,negative,negative
215318,9,0.0,negative,Neutral
215318,10,0.33,positive,Neutral
215318,11,-2.67,negative,very negative
215318,12,0.33,positive,Neutral
215318,13,0.33,positive,Neutral
215318,14,0.33,positive,Neutral
215318,15,-2.33,negative,very negative
221137,0,0.0,negative,Neutral
221137,1,0.33,positive,Neutral
221137,2,-2.0,negative,negative
221137,3,0.0,negative,Neutral
221137,4,-2.0,negative,negative
221137,5,-1.33,negative,negative
221137,6,-1.0,negative,slightly negative
221137,7,-1.33,negative,negative
221137,8,-2.33,negative,very negative
221153,0,0.0,negative,Neutral
221153,1,0.33,positive,Neutral
221153,2,-1.33,negative,negative
221153,3,-1.67,negative,negative
221153,4,0.0,negative,Neutral
221153,5,-0.67,negative,slightly negative
221153,6,-0.67,negative,slightly negative
221153,7,1.0,positive,slightly positive
221153,8,0.33,positive,Neutral
221153,9,0.33,positive,Neutral
221153,10,0.33,positive,Neutral
221153,11,0.0,negative,Neutral
221153,12,0.33,positive,Neutral
221153,13,0.33,positive,Neutral
221153,14,0.33,positive,Neutral
221153,15,0.0,negative,Neutral
221153,16,0.33,positive,Neutral
221153,17,0.33,positive,Neutral
221153,18,0.0,negative,Neutral
221274,0,-2.0,negative,negative
221274,1,0.33,positive,Neutral
221274,2,0.67,positive,slightly positive
221274,3,0.33,positive,Neutral
221274,4,-2.0,negative,negative
221274,5,1.0,positive,slightly positive
221274,6,-0.33,negative,Neutral
221274,7,-2.0,negative,negative
221274,8,-1.0,negative,slightly negative
221274,9,-1.67,negative,negative
222247,0,-2.0,negative,negative
222247,1,-1.0,negative,slightly negative
222247,2,-2.0,negative,negative
222247,3,0.33,positive,Neutral
222247,4,-1.33,negative,negative
222247,5,0.33,positive,Neutral
222247,6,0.0,negative,Neutral
222247,7,0.0,negative,Neutral
222247,8,0.0,negative,Neutral
222247,9,-1.33,negative,negative
222247,10,0.33,positive,Neutral
222247,11,-2.0,negative,negative
222247,12,-1.33,negative,negative
222247,13,-1.67,negative,negative
222247,14,-2.0,negative,negative
22373,0,-2.67,negative,very negative
22373,1,0.0,negative,Neutral
22373,2,0.0,negative,Neutral
22373,3,0.0,negative,Neutral
22373,4,-2.33,negative,very negative
22373,5,-1.33,negative,negative
22373,6,1.67,positive,positive
22373,7,0.0,negative,Neutral
22373,8,-1.0,negative,slightly negative
22373,9,-0.67,negative,slightly negative
22373,10,-0.67,negative,slightly negative
224263,0,-2.67,negative,very negative
224263,1,-3.0,negative,very negative
224263,2,0.67,positive,slightly positive
224263,3,-1.67,negative,negative
224263,4,-2.0,negative,negative
224263,5,-2.33,negative,very negative
224263,6,-1.33,negative,negative
224263,7,-2.33,negative,very negative
224263,8,0.0,negative,Neutral
224263,9,0.0,negative,Neutral
224263,10,-2.33,negative,very negative
224263,11,-1.33,negative,negative
224263,12,-2.0,negative,negative
224263,13,-1.67,negative,negative
224263,14,-2.67,negative,very negative
224263,15,-1.0,negative,slightly negative
224263,16,0.0,negative,Neutral
224263,17,-1.67,negative,negative
224370,0,-2.67,negative,very negative
224370,1,0.0,negative,Neutral
224370,2,1.0,positive,slightly positive
224370,3,0.0,negative,Neutral
224370,4,0.0,negative,Neutral
224370,5,-2.0,negative,negative
224370,6,-2.33,negative,very negative
224370,7,-2.67,negative,very negative
224370,8,-2.0,negative,negative
224370,9,0.0,negative,Neutral
224370,10,-2.0,negative,negative
224370,11,1.0,positive,slightly positive
224370,12,0.0,negative,Neutral
224370,13,0.33,positive,Neutral
224370,14,-0.33,negative,Neutral
224370,15,-1.67,negative,negative
224370,16,-1.0,negative,slightly negative
224370,17,-1.67,negative,negative
224370,18,-1.67,negative,negative
224370,19,-2.0,negative,negative
224370,20,-2.33,negative,very negative
224370,21,-2.0,negative,negative
224370,22,-2.0,negative,negative
224631,0,2.0,positive,positive
224631,1,2.33,positive,very positive
224631,2,0.33,positive,Neutral
224631,3,0.67,positive,slightly positive
224631,4,1.33,positive,positive
224631,5,1.0,positive,slightly positive
224631,6,0.33,positive,Neutral
224631,7,1.67,positive,positive
224631,8,0.67,positive,slightly positive
224631,9,0.0,negative,Neutral
224631,10,0.0,negative,Neutral
224631,11,0.0,negative,Neutral
226601,0,-1.33,negative,negative
226601,1,-1.33,negative,negative
226601,2,-2.33,negative,very negative
226601,3,-2.0,negative,negative
226601,4,0.0,negative,Neutral
226601,5,0.0,negative,Neutral
226601,6,1.33,positive,positive
226601,7,-0.67,negative,slightly negative
226601,8,-2.0,negative,negative
226601,9,0.67,positive,slightly positive
226601,10,0.33,positive,Neutral
226601,11,1.0,positive,slightly positive
226601,12,0.0,negative,Neutral
226601,13,0.33,positive,Neutral
226601,14,-0.33,negative,Neutral
226601,15,-1.67,negative,negative
226601,16,0.33,positive,Neutral
226601,17,1.33,positive,positive
226601,18,-1.0,negative,slightly negative
226640,0,0.0,negative,Neutral
226640,1,0.67,positive,slightly positive
226640,2,0.33,positive,Neutral
226640,3,0.0,negative,Neutral
226640,4,-2.0,negative,negative
226640,5,-1.33,negative,negative
226640,6,1.33,positive,positive
226640,7,-0.33,negative,Neutral
226640,8,0.0,negative,Neutral
226640,9,-0.33,negative,Neutral
22689,0,-1.33,negative,negative
22689,1,-1.67,negative,negative
22689,2,-2.0,negative,negative
22689,3,0.0,negative,Neutral
22689,4,-1.33,negative,negative
22689,5,-0.33,negative,Neutral
22689,6,-1.33,negative,negative
22689,7,0.0,negative,Neutral
22689,8,0.0,negative,Neutral
22689,9,-2.0,negative,negative
22689,10,-2.0,negative,negative
22689,11,-0.67,negative,slightly negative
233939,0,-0.33,negative,Neutral
233939,1,-1.33,negative,negative
233939,2,-2.33,negative,very negative
233939,3,-0.67,negative,slightly negative
233939,4,-2.33,negative,very negative
233939,5,-2.67,negative,very negative
233939,6,0.0,negative,Neutral
233939,7,0.0,negative,Neutral
233939,8,0.33,positive,Neutral
233939,9,-2.67,negative,very negative
233939,10,0.0,negative,Neutral
233939,11,0.0,negative,Neutral
233939,12,-2.0,negative,negative
233939,13,-1.33,negative,negative
233939,14,-2.67,negative,very negative
233939,15,-2.33,negative,very negative
233939,16,-2.0,negative,negative
234046,0,-2.33,negative,very negative
234046,1,-0.33,negative,Neutral
234046,2,-2.0,negative,negative
234046,3,-1.67,negative,negative
